[2018-7-13 0:49:17] [121.22.243.29] 角色名:喜欢你	Ident:1018		Recog:0		Param:0		tag:0		series:46		string:
[2018-7-13 0:49:18] [121.22.243.29] 角色名:喜欢你	Ident:84		Recog:786446		Param:0		tag:0		series:0		string:
[2018-7-13 0:49:18] [121.22.243.29] 角色名:喜欢你	Ident:81		Recog:1		Param:0		tag:0		series:0		string:
[2018-7-13 0:49:18] [121.22.243.29] 角色名:喜欢你	Ident:10431		Recog:1310720		Param:0		tag:0		series:0		string:
[2018-7-13 0:49:18] [121.22.243.29] 角色名:喜欢你	Ident:10433		Recog:0		Param:0		tag:0		series:0		string:
[2018-7-13 0:49:18] [121.22.243.29] 角色名:喜欢你	Ident:1200		Recog:242468736		Param:1		tag:0		series:0		string:
[2018-7-13 0:49:19] [121.22.243.29] 角色名:喜欢你	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 0:49:20] [121.22.243.29] 角色名:喜欢你	Ident:1006		Recog:85053873		Param:0		tag:0		series:2		string:
[2018-7-13 0:49:25] [121.22.243.29] 角色名:喜欢你	Ident:3030		Recog:0		Param:0		tag:0		series:0		string:@飞 e1
[2018-7-13 0:49:27] [121.22.243.29] 角色名:喜欢你	Ident:1033		Recog:0		Param:0		tag:0		series:0		string:
[2018-7-13 0:49:28] [121.22.243.29] 角色名:喜欢你	Ident:1033		Recog:0		Param:0		tag:0		series:0		string:
[2018-7-13 0:49:28] [121.22.243.29] 角色名:喜欢你	Ident:1033		Recog:0		Param:0		tag:0		series:0		string:
[2018-7-13 0:49:28] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:1900575		Param:0		tag:6		series:0		string:
[2018-7-13 0:49:29] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:1900573		Param:0		tag:6		series:0		string:
[2018-7-13 0:49:30] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:1900571		Param:0		tag:6		series:0		string:
[2018-7-13 0:49:30] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:1900569		Param:0		tag:6		series:0		string:
[2018-7-13 0:49:31] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:1900567		Param:0		tag:6		series:0		string:
[2018-7-13 0:49:32] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:1900569		Param:0		tag:2		series:0		string:
[2018-7-13 0:49:32] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:1769497		Param:0		tag:0		series:0		string:
[2018-7-13 0:49:33] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:1638425		Param:0		tag:0		series:0		string:
[2018-7-13 0:49:34] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:1507353		Param:0		tag:0		series:0		string:
[2018-7-13 0:49:34] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:1638427		Param:0		tag:3		series:0		string:
[2018-7-13 0:49:35] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:1769501		Param:0		tag:3		series:0		string:
[2018-7-13 0:49:36] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:1900575		Param:0		tag:3		series:0		string:
[2018-7-13 0:49:36] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:2031649		Param:0		tag:3		series:0		string:
[2018-7-13 0:49:37] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:2031651		Param:0		tag:2		series:0		string:
[2018-7-13 0:49:38] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:2031653		Param:0		tag:2		series:0		string:
[2018-7-13 0:49:38] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:2031655		Param:0		tag:2		series:0		string:
[2018-7-13 0:49:40] [121.22.243.29] 角色名:喜欢你	Ident:3017		Recog:2		Param:0		tag:26		series:0		string:
[2018-7-13 0:49:40] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:2031657		Param:0		tag:2		series:0		string:
[2018-7-13 0:49:41] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:2031659		Param:0		tag:2		series:0		string:
[2018-7-13 0:49:41] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:2031661		Param:0		tag:2		series:0		string:
[2018-7-13 0:49:42] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:2031663		Param:0		tag:2		series:0		string:
[2018-7-13 0:49:43] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:2031665		Param:0		tag:2		series:0		string:
[2018-7-13 0:49:43] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:2031667		Param:0		tag:2		series:0		string:
[2018-7-13 0:49:44] [121.22.243.29] 角色名:喜欢你	Ident:3013		Recog:2031669		Param:0		tag:2		series:0		string:
[2018-7-13 0:50:0] [121.22.243.29] 角色名:喜欢你	Ident:3017		Recog:2		Param:0		tag:26		series:0		string:
[2018-7-13 0:50:21] [121.22.243.29] 角色名:喜欢你	Ident:3017		Recog:2		Param:0		tag:26		series:0		string:
[2018-7-13 0:50:41] [121.22.243.29] 角色名:喜欢你	Ident:3017		Recog:2		Param:0		tag:26		series:0		string:
