1	111.226.115.137	orochijb	∫Ï ÷»Ì√√	28	2018-07-15 22:29:38	2018-07-15 22:30:07	5
1	111.226.115.137	orochijb	∫Ï ÷»Ì√√	67	2018-07-15 22:30:13	2018-07-15 22:31:20	5
1	121.22.243.29	cici	œ≤ª∂ƒ„	166	2018-07-15 22:28:53	2018-07-15 22:31:40	5
1	111.226.115.137	orochijb	∫Ï ÷»Ì√√	53	2018-07-15 22:31:26	2018-07-15 22:32:20	5
1	121.22.243.29	cici	œ≤ª∂ƒ„	35	2018-07-15 22:31:48	2018-07-15 22:32:23	5
1	121.22.243.29	cici	œ≤ª∂ƒ„	8	2018-07-15 22:32:28	2018-07-15 22:32:37	5
1	111.226.115.137	orochijb	∫Ï ÷»Ì√√	17	2018-07-15 22:32:34	2018-07-15 22:32:52	5
1	111.226.115.137	orochijb	∫Ï ÷»Ì√√	29	2018-07-15 22:33:06	2018-07-15 22:33:35	5
1	111.226.115.137	orochijb	∫Ï ÷»Ì√√	137	2018-07-15 22:33:57	2018-07-15 22:36:15	5
1	111.226.115.137	orochijb	∫Ï ÷»Ì√√	12	2018-07-15 22:37:21	2018-07-15 22:37:34	5
1	121.22.243.29	cici	œ≤ª∂ƒ„	366	2018-07-15 22:32:47	2018-07-15 22:38:53	5
