1	121.22.243.29	cici	œ≤ª∂ƒ„	230	2018-07-15 22:16:51	2018-07-15 22:20:41	5
1	121.22.243.29	cici	œ≤ª∂ƒ„	96	2018-07-15 22:20:47	2018-07-15 22:22:23	5
1	111.226.115.137	orochijb	∫Ï ÷»Ì√√	1041	2018-07-15 22:06:28	2018-07-15 22:23:49	5
1	121.22.243.29	cici	œ≤ª∂ƒ„	93	2018-07-15 22:22:28	2018-07-15 22:24:01	5
1	121.22.243.29	cici	œ≤ª∂ƒ„	74	2018-07-15 22:24:07	2018-07-15 22:25:22	5
1	121.22.243.29	cici	œ≤ª∂ƒ„	21	2018-07-15 22:25:27	2018-07-15 22:25:49	5
1	121.22.243.29	cici	œ≤ª∂ƒ„	46	2018-07-15 22:25:54	2018-07-15 22:26:40	5
1	111.226.115.137	orochijb	∫Ï ÷»Ì√√	169	2018-07-15 22:24:04	2018-07-15 22:26:54	5
1	121.22.243.29	cici	œ≤ª∂ƒ„	71	2018-07-15 22:26:45	2018-07-15 22:27:57	5
1	121.22.243.29	cici	œ≤ª∂ƒ„	26	2018-07-15 22:28:03	2018-07-15 22:28:29	5
1	111.226.115.137	orochijb	∫Ï ÷»Ì√√	105	2018-07-15 22:27:00	2018-07-15 22:28:45	5
1	121.22.243.29	cici	œ≤ª∂ƒ„	13	2018-07-15 22:28:34	2018-07-15 22:28:48	5
1	111.226.115.137	orochijb	∫Ï ÷»Ì√√	39	2018-07-15 22:28:53	2018-07-15 22:29:32	5
